,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
162,9029,9029,1450,465.643190547147,3.53828829290897,341.035906791463,29.1052312285706,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.105395558649656,21.524000829580498,108.538355031796,0.34398214943085603,1,run_31,run_31//output//rmfs//7.rmf3,332.090595479346,A,2,h1_run_31_9029.rmf3
164,8722,8722,5631,465.685471880193,2.42930773341963,342.395345420641,29.8987942720779,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.26105876716341897,22.222392605220698,106.79849831014,0.34989362121718803,1,run_3,run_3//output//rmfs//7.rmf3,333.134616592542,A,2,h1_run_3_8722.rmf3
169,8395,8395,5304,465.751965134431,2.28118143779995,345.132849582764,26.9185618724299,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.484970276757,108.580036783217,0.34371972357365804,1,run_3,run_3//output//rmfs//7.rmf3,332.743762059397,A,2,h1_run_3_8395.rmf3
174,9347,9347,758,465.85599307429,2.46777018450397,338.42840232325904,29.7789161798759,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.9644414168185,108.95297768348101,0.342834765396114,1,run_37,run_37//output//rmfs//7.rmf3,329.086257854042,A,2,h1_run_37_9347.rmf3
178,8763,8763,5672,465.980385551179,2.44291785859368,334.92078548973,31.708343103648,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.041781668280603,107.674559317766,0.346862279435905,1,run_3,run_3//output//rmfs//7.rmf3,327.483215618375,A,2,h1_run_3_8763.rmf3
179,9896,9896,5015,466.006397640907,2.88692020536887,328.695865673105,33.1662754270084,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.059525823701626,26.197964387374302,108.74255643161999,0.34328787183117204,1,run_22,run_22//output//rmfs//4.rmf3,323.160230471886,A,2,h1_run_22_9896.rmf3
187,8465,8465,1116,466.07264946604005,3.30019262912232,340.85588888852,24.926938162396997,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.04743128539207401,27.6046517852741,108.24984298472602,0.34484049771756203,1,run_31,run_31//output//rmfs//7.rmf3,327.49418884644297,A,2,h1_run_31_8465.rmf3
189,9147,9147,6056,466.12410992963305,2.38175923627546,339.023963403874,31.065737501757898,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.13633254451058197,24.246844785920402,106.871677848417,0.34970926703834104,1,run_3,run_3//output//rmfs//7.rmf3,330.882629308311,A,2,h1_run_3_9147.rmf3
190,9145,9145,6054,466.133099611034,2.38788633743678,343.332743780008,29.120938857251602,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.1935020576934,106.72445980872601,0.35021909983162797,1,run_3,run_3//output//rmfs//7.rmf3,333.25273814109903,A,2,h1_run_3_9145.rmf3
201,9845,9845,1758,466.31002464828,2.29261930321209,336.53625889226504,37.6354079409052,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.10154341468196601,18.9013404320453,107.726543621364,0.346526695850008,1,run_40,run_40//output//rmfs//4.rmf3,334.875455302785,A,2,h1_run_40_9845.rmf3
