,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
240,9533,9533,7494,465.694958644464,3.7570627397910803,334.636906051352,32.5592135872604,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.1743999509011,24.8365110195471,108.129644268418,0.345539871773842,1,run_29,run_29//output//rmfs//2.rmf3,329.364351544807,B,2,h2_run_29_9533.rmf3
242,6932,6932,4905,465.75648232138604,3.5186467203595297,338.029935576149,28.469022213434897,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,29.477401539482198,106.90994203402799,0.349760128560937,1,run_29,run_29//output//rmfs//2.rmf3,328.428773676347,B,2,h2_run_29_6932.rmf3
246,6793,6793,4766,465.801146070203,3.51183875445647,337.71504008983,28.6114450407018,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.6197432991729129,28.990866204060197,106.814003125678,0.350051403556462,1,run_29,run_29//output//rmfs//2.rmf3,328.249493051392,B,2,h2_run_29_6793.rmf3
251,8230,8230,6191,465.841808094238,3.66161212283529,337.622015444127,27.753067393979602,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,28.2290361320397,106.301272091748,0.351783574185895,1,run_29,run_29//output//rmfs//2.rmf3,327.447864127345,B,2,h2_run_29_8230.rmf3
252,8254,8254,6215,465.850355902998,3.5064975220595898,341.806940386639,29.432157835787898,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.021259988296312,24.2117438031202,106.15712831126801,0.3522783324492,1,run_29,run_29//output//rmfs//2.rmf3,333.15676491089,B,2,h2_run_29_8254.rmf3
256,9473,9473,7434,465.93550386382105,3.8256588540457406,330.120694323992,31.5240169375903,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,30.0357915413884,108.231285563918,0.34519133051633,1,run_29,run_29//output//rmfs//2.rmf3,323.881539282032,B,2,h2_run_29_9473.rmf3
262,8809,8809,6770,466.04157520478105,3.43480613986285,346.70555678239197,26.2665311833062,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.08611621209567,22.579804572059196,107.31247346697799,0.34834129348280196,1,run_29,run_29//output//rmfs//2.rmf3,334.818063271965,B,2,h2_run_29_8809.rmf3
269,8698,8698,6659,466.122483250677,2.94292821395238,334.934923277958,28.575815440327396,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.8283929876376,108.52657644058701,0.344184664580047,1,run_29,run_29//output//rmfs//2.rmf3,324.86483609864104,B,2,h2_run_29_8698.rmf3
270,9276,9276,7237,466.12249696436896,2.13665392531591,335.470345265593,30.377217687533303,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.5168661764594,108.06135237900601,0.3456385031802,1,run_29,run_29//output//rmfs//2.rmf3,326.395386044845,B,2,h2_run_29_9276.rmf3
271,6337,6337,4312,466.128123102807,3.83238459000106,335.947321825222,32.8350567187524,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.5472862874147,108.462715581262,0.34442310947809895,1,run_29,run_29//output//rmfs//2.rmf3,331.025932300379,B,2,h2_run_29_6337.rmf3
